Player_Name,Points,Team,height,weight,Position,collage,Age,All_Star
"Curly Armstrong",458,FTW,180,77,G-F,"Indiana University",31,0
"Cliff Barker",279,INO,188,83,SG,"University of Kentucky",29,0
"Leo Barnhorst",438,CHS,193,86,SF,"University of Notre Dame",25,0
"Ed Bartels",63,TOT,196,88,F,"North Carolina State University",24,0
"Ed Bartels",59,DNN,196,88,F,"North Carolina State University",24,0
"Ed Bartels",4,NYK,196,88,F,"North Carolina State University",24,0
"Ralph Beard",895,INO,178,79,G,"University of Kentucky",22,0
"Gene Berce",10,TRI,180,79,G-F,"Marquette University",23,0
"Charlie Black",661,TOT,196,90,F-C,"University of Kansas",28,0
"Charlie Black",382,FTW,196,90,F-C,"University of Kansas",28,0
"Charlie Black",279,AND,196,90,F-C,"University of Kansas",28,0
"Nelson Bobb",242,PHW,183,77,PG,"Temple University",25,0
"Jake Bornheimer",254,PHW,196,90,F-C,"Muhlenberg College",22,0
"Vince Boryla",612,NYK,196,95,SF,"University of Denver",22,0
"Don Boven",656,WAT,193,95,F-G,"Western Michigan University",24,0
"Harry Boykoff",779,WAT,208,102,C,"St. John's University",27,0
"Joe Bradley",87,CHS,190,79,G,"Oklahoma State University",21,0
"Bob Brannum",713,SHE,196,97,PF,"Michigan State University",24,0
"Carl Braun",1031,NYK,196,81,G-F,"Colgate University",22,0
"Frankie Brian",1138,AND,185,81,G,"Louisiana State University",26,0
"Price Brookfield",34,ROC,193,83,F-G,"West Texas A&M University",29,0
"Bob Brown",724,DNN,193,92,F,"Miami University",26,0
"Jim Browne",47,DNN,208,106,C,,20,0
"Walt Budko",595,BLB,196,99,PF,"Columbia University",24,0
"Jack Burmaster",598,SHE,190,86,G,"University of Illinois at Urbana-Champaign",23,0
"Tommy Byrnes",327,BLB,190,79,F-G,"Seton Hall University",26,0
"Bill Calhoun",560,ROC,190,81,SG,"City College of San Francisco",22,0
"Don Carlson",267,MNL,183,77,G-F,"University of Minnesota",30,0
"Bob Carpenter",614,FTW,196,90,F-C,"East Texas State University",32,0
"Jake Carter",82,TOT,193,88,F-C,"East Texas State University",25,0
"Jake Carter",44,DNN,193,88,F-C,"East Texas State University",25,0
"Jake Carter",38,AND,193,88,F-C,"East Texas State University",25,0
"Al Cervi*",573,SYR,180,77,PG,,32,0
"John Chaney",70,TOT,190,83,F-C,"Louisiana State University",29,0
"John Chaney",28,TRI,190,83,F-C,"Louisiana State University",29,0
"John Chaney",42,SHE,190,83,F-C,"Louisiana State University",29,0
"Leroy Chollet",157,SYR,188,86,F,"Canisius College",24,0
"Bill Closs",752,AND,196,88,SF,"Rice University",28,0
"Paul Cloyd",19,TOT,188,81,G-F,"University of Wisconsin",29,0
"Paul Cloyd",5,BLB,188,81,G-F,"University of Wisconsin",29,0
"Paul Cloyd",14,WAT,188,81,G-F,"University of Wisconsin",29,0
"Jack Coleman",590,ROC,201,88,PF,"University of Louisville",25,0
"Bobby Cook",587,SHE,178,70,G-F,"University of Wisconsin",26,0
"Ray Corley",309,SYR,183,81,G,"Georgetown University",22,0
"Jack Cotton",276,DNN,201,90,F-C,"University of Wyoming",25,0
"Dillard Crocker",723,DNN,193,92,PF,"Western Michigan University",25,0
"Chink Crossin",449,PHW,185,74,G,"University of Pennsylvania",26,0
"Fran Curran",395,ROC,183,79,G,"University of Notre Dame",27,0
"Jimmy Darden",211,DNN,185,77,G,"University of Denver",27,0
"Bob Davies*",895,ROC,185,79,PG,"Seton Hall University",30,0
"Hook Dillon",36,WSC,190,81,F,"University of North Carolina",26,0
"Earl Dodd",15,DNN,196,79,F,"Truman State University",25,0
"Joe Dolhon",443,BLB,183,79,G,"New York University",22,0
"Bob Doll",315,BOS,196,88,F-C,"University of Colorado",30,0
"Harry Donovan",253,NYK,188,81,G,"Muhlenberg College",23,0
"Andy Duncan",310,ROC,198,88,F-C,"College of William & Mary",27,0
"Dike Eddleman",826,TRI,190,85,SF,"University of Illinois at Urbana-Champaign",27,0
"Gene Englund",360,TOT,196,92,F-C,"University of Wisconsin",32,0
"Gene Englund",196,BOS,196,92,F-C,"University of Wisconsin",32,0
"Gene Englund",164,TRI,196,92,F-C,"University of Wisconsin",32,0
"Bob Evans",142,INO,188,79,G,"Butler University",24,0
"Johnny Ezersky",413,TOT,190,79,F-G,"University of Rhode Island",27,0
"Johnny Ezersky",306,BLB,190,79,F-G,"University of Rhode Island",27,0
"Johnny Ezersky",107,BOS,190,79,F-G,"University of Rhode Island",27,0
"Bob Feerick",483,WSC,190,86,F-G,"Santa Clara University",30,0
"George Feigenbaum",36,BLB,185,83,G,"University of Kentucky",20,0
"Arnie Ferrin",340,MNL,188,81,F-G,"University of Utah",24,0
"Jerry Fleishman",297,PHW,188,86,SG,"New York University",27,0
"Joe Fulks*",965,PHW,196,86,PF,"Murray State University",28,0
"Bill Gabor",609,SYR,180,77,SG,"Syracuse University",27,0
"Elmer Gainer",24,WAT,198,88,F-C,"DePaul University",31,0
"Harry Gallatin*",803,NYK,198,95,F-C,"Truman State University",22,0
"Vern Gardner",853,PHW,196,90,SG,"University of Utah",24,0
"Frank Gates",287,AND,183,72,G,"Sam Houston State University",29,0
"Dee Gibson",281,TRI,180,79,F-G,"Western Kentucky University",26,0
"Hoot Gibson",176,TOT,196,89,F-C,"Creighton University",28,0
"Hoot Gibson",7,BOS,196,89,F-C,"Creighton University",28,0
"Hoot Gibson",169,WAT,196,89,F-C,"Creighton University",28,0
"Chuck Gilmur",418,WSC,193,102,F-C,"University of Washington",27,0
"Paul Gordon",3,BLB,190,83,F,"University of Notre Dame",22,0
"Joe Graboski",203,CHS,201,88,F-C,,20,0
"Bud Grant",91,MNL,190,88,F,"University of Minnesota",22,0
"Don Grate",4,SHE,188,83,F-G,"Ohio State University",26,0
"Alex Groza",1496,INO,201,98,C,"University of Kentucky",23,0
"Al Guokas",214,TOT,196,90,F-G,"Saint Joseph's University",24,0
"Al Guokas",197,DNN,196,90,F-G,"Saint Joseph's University",24,0
"Al Guokas",17,PHW,196,90,F-G,"Saint Joseph's University",24,0
"Robert Hahn",10,CHS,208,108,C,"North Carolina State University",24,0
"Chick Halbert",328,WSC,206,102,C,"West Texas A&M University",30,0
"Bruce Hale",657,INO,185,77,G-F,"Santa Clara University",31,0
"Dale Hamilton",25,WAT,183,81,G-F,"Franklin College",30,0
"Alex Hannum*",482,SYR,201,95,PF,"University of Southern California",26,0
"John Hargis",643,AND,188,81,G-F,"University of Texas at Austin",29,0
"Bob Harris",476,FTW,201,88,F-C,"Oklahoma State University",22,0
"Bob Harrison",300,MNL,201,88,G,"Oklahoma State University",22,0
"Billy Hassett",272,TOT,180,81,G,"University of Notre Dame",28,0
"Billy Hassett",161,TRI,180,81,G,"University of Notre Dame",28,0
"Billy Hassett",111,MNL,180,81,G,"University of Notre Dame",28,0
"Marshall Hawkins",152,INO,190,92,F,"University of Tennessee",25,0
"Bill Henry",296,TOT,206,97,C,"Rice University",25,0
"Bill Henry",214,FTW,206,97,C,"Rice University",25,0
"Bill Henry",82,TRI,206,97,C,"Rice University",25,0
"Bill Herman",56,DNN,190,77,G,"Mount Union College",25,0
"Kleggie Hermsen",545,CHS,206,102,C-F,"University of Minnesota",26,0
"Sonny Hertzberg",693,BOS,178,79,G,"City College of New York",27,0
"Paul Hoffman",866,BLB,188,88,G-F,"Purdue University",24,0
"Joe Holland",388,INO,193,83,SF,"University of Kentucky",24,0
"Red Holzman*",556,ROC,178,79,PG,"City College of New York",29,0
"Gene James",52,NYK,193,81,F,"Marshall University",24,0
"Howie Janotta",31,BLB,190,83,F,"Seton Hall University",25,0
"Tony Jaros",240,MNL,190,83,F-G,"University of Minnesota",29,0
"Buddy Jeannette*",193,BLB,180,79,G,"Washington & Jefferson College",32,0
"Arnie Johnson",498,ROC,196,107,SF,"Bemidji State University",29,0
"Ralph Johnson",590,TOT,180,77,PG,"Huntington University",28,0
"Ralph Johnson",337,AND,180,77,PG,"Huntington University",28,0
"Ralph Johnson",253,FTW,180,77,PG,"Huntington University",28,0
"Wah Wah",751,INO,180,77,PF,,23,0
"Noble Jorgensen",704,SHE,206,103,C,"University of Iowa",24,0
"George Kaftan",534,BOS,190,86,SF,"College of the Holy Cross",21,0
"Leo Katkaveck",236,WSC,183,83,G,"North Carolina State University",26,0
"Jack Kerris",483,TOT,198,97,PF,"Loyola University of Chicago",25,0
"Jack Kerris",26,TRI,198,97,PF,"Loyola University of Chicago",25,0
"Jack Kerris",457,FTW,198,97,PF,"Loyola University of Chicago",25,0
"Bob Kinney",667,BOS,198,97,C-F,"Rice University",29,0
"Walt Kirk",349,TOT,190,78,PG,"University of Illinois at Urbana-Champaign",25,0
"Walt Kirk",119,AND,190,78,PG,"University of Illinois at Urbana-Champaign",25,0
"Walt Kirk",230,TRI,190,78,PG,"University of Illinois at Urbana-Champaign",25,0
"Leo Klier",455,FTW,188,77,F-G,"University of Notre Dame",26,0
"Duane Klueh",475,TOT,190,79,G,"Indiana State University",24,0
"Duane Klueh",331,DNN,190,79,G,"Indiana State University",24,0
"Duane Klueh",144,FTW,190,79,G,"Indiana State University",24,0
"Milo Komenich",634,AND,201,96,F-C,"University of Wyoming",29,0
"Leo Kubiak",710,WAT,180,72,G,"Bowling Green State University",22,0
"Frank Kudelka",433,CHS,188,87,G-F,"Saint Mary's College of California",24,0
"Walt Lautenbach",238,SHE,188,83,G-F,"University of Wisconsin",27,0
"Tony Lavelli",492,BOS,190,83,F,"Yale University",23,0
"Ed Leede",571,BOS,190,83,F-G,"Dartmouth College",22,0
"Andrew Levane",332,SYR,188,86,F-G,"St. John's University",29,0
"Freddie Lewis",117,TOT,188,88,F-G,"Eastern Kentucky University",29,0
"Freddie Lewis",63,BLB,188,88,F-G,"Eastern Kentucky University",29,0
"Freddie Lewis",54,PHW,188,88,F-G,"Eastern Kentucky University",29,0
"Ron Livingstone",448,TOT,208,99,C,"University of Wyoming",24,0
"Ron Livingstone",85,BLB,208,99,C,"University of Wyoming",24,0
"Ron Livingstone",363,PHW,208,99,C,"University of Wyoming",24,0
"John Logan",755,STB,188,79,G,"Indiana University",29,0
"Ray Lumpp",268,NYK,185,80,G,"New York University",26,0
"Ed Macauley*",1081,STB,203,83,C-F,"Saint Louis University",21,0
"Johnny Macknowski",439,SYR,183,81,G-F,"Seton Hall University",27,0
"John Mahnken",341,TOT,203,99,C,"Georgetown University",27,0
"John Mahnken",7,FTW,203,99,C,"Georgetown University",27,0
"John Mahnken",223,TRI,203,99,C,"Georgetown University",27,0
"John Mahnken",111,BOS,203,99,C,"Georgetown University",27,0
"John Mandic",66,TOT,193,92,F-C,"Oregon State University",30,0
"John Mandic",62,WSC,193,92,F-C,"Oregon State University",30,0
"John Mandic",4,BLB,193,92,F-C,"Oregon State University",30,0
"Slater Martin*",271,MNL,178,77,PG,"University of Texas at Austin",24,0
"Ariel Maughan",477,STB,193,86,F,"Utah State University",26,0
"Matt Mazza",98,SHE,190,95,F,"Michigan State University",26,0
"Mike McCarron",9,TOT,180,81,G,"Seton Hall University",27,0
"Mike McCarron",4,BLB,180,81,G,"Seton Hall University",27,0
"Mike McCarron",5,STB,180,81,G,"Seton Hall University",27,0
"Dick McGuire*",584,NYK,183,81,PG,"St. John's University",24,0
"Bones McKinney",492,WSC,198,83,SF,"University of North Carolina",31,0
"Mal McMullen",323,INO,196,95,F-C,"Xavier University",22,0
"Dick Mehen",892,WAT,196,88,PF,"University of Tennessee",27,0
"Ken Menke",15,WAT,183,76,G,"University of Illinois at Urbana-Champaign",27,0
"Stan Miasek",498,CHS,196,95,C-F,,25,0
"Ed Mikan",270,TOT,203,104,C,"DePaul University",24,0
"Ed Mikan",107,CHS,203,104,C,"DePaul University",24,0
"Ed Mikan",163,ROC,203,104,C,"DePaul University",24,0
"George Mikan*",1865,MNL,208,111,C,"DePaul University",25,0
"Vern Mikkelsen*",791,MNL,201,104,PF,"Hamline University",21,0
"Al Miksis",27,WAT,201,95,C,"Western Illinois University",21,0
"Leo Mogus",562,PHW,193,86,F-C,"Youngstown State University",28,0
"Max Morris",781,SHE,188,88,F-C,"Northwestern University",24,0
"Joe Mullaney",30,BOS,183,74,G,"College of the Holy Cross",24,0
"Jerry Nagel",13,FTW,183,86,G,"Loyola University of Chicago",21,0
"Jack Nichols",879,TOT,201,100,PF,"University of Washington",23,0
"Jack Nichols",643,WSC,201,100,PF,"University of Washington",23,0
"Jack Nichols",236,TRI,201,100,PF,"University of Washington",23,0
"Richie Niemiera",324,TOT,185,74,G-F,"University of Notre Dame",28,0
"Richie Niemiera",174,FTW,185,74,G-F,"University of Notre Dame",28,0
"Richie Niemiera",150,AND,185,74,G-F,"University of Notre Dame",28,0
"Paul Noel",249,NYK,193,83,F,"University of Kentucky",25,0
"Johnny Norlander",251,WSC,190,81,F,"Hamline University",28,0
"George Nostrand",212,TOT,203,88,C-F,"University of Wyoming",26,0
"George Nostrand",108,BOS,203,88,C-F,"University of Wyoming",26,0
"George Nostrand",12,TRI,203,88,C-F,"University of Wyoming",26,0
"George Nostrand",92,CHS,203,88,C-F,"University of Wyoming",26,0
"Mike Novak",99,TOT,206,99,C-F,"Loyola University of Chicago",34,0
"Mike Novak",3,ROC,206,99,C-F,"Loyola University of Chicago",34,0
"Mike Novak",96,PHW,206,99,C-F,"Loyola University of Chicago",34,0
"Dermie O'Connell",269,TOT,183,78,G,"College of the Holy Cross",21,0
"Dermie O'Connell",177,BOS,183,78,G,"College of the Holy Cross",21,0
"Dermie O'Connell",92,STB,183,78,G,"College of the Holy Cross",21,0
"Andy O'Donnell",90,BLB,185,81,G,"Loyola College in Maryland",24,0
"Dick O'Keefe",474,WSC,188,83,G-F,"Santa Clara University",26,0
"John Oldham",357,FTW,190,79,G,"Western Kentucky University",26,0
"Gene Ollrich",44,WAT,180,72,G,"Drake University",27,0
"Johnny Orr",92,TOT,190,88,F,"Beloit College",22,0
"Johnny Orr",40,STB,190,88,F,"Beloit College",22,0
"Johnny Orr",52,WAT,190,88,F,"Beloit College",22,0
"Don Otten",825,TOT,208,108,C,"Bowling Green State University",28,0
"Don Otten",556,TRI,208,108,C,"Bowling Green State University",28,0
"Don Otten",269,WSC,208,108,C,"Bowling Green State University",28,0
"Mac Otten",142,TOT,201,99,F-C,"Bowling Green State University",24,0
"Mac Otten",39,TRI,201,99,F-C,"Bowling Green State University",24,0
"Mac Otten",103,STB,201,99,F-C,"Bowling Green State University",24,0
"Red Owens",240,TOT,190,83,SG,"Baylor University",24,0
"Red Owens",124,TRI,190,83,SG,"Baylor University",24,0
"Red Owens",116,AND,190,83,SG,"Baylor University",24,0
"Easy Parham",362,STB,190,90,F-G,"Texas Wesleyan University",28,0
"Jack Parkinson",3,INO,183,78,G,"University of Kentucky",25,0
"Charlie Parsley",22,PHW,188,79,G,"Western Kentucky University",24,0
"Stan Patrick",321,TOT,188,83,F-G,"University of Illinois at Urbana-Champaign",27,0
"Stan Patrick",228,WAT,188,83,F-G,"University of Illinois at Urbana-Champaign",27,0
"Stan Patrick",93,SHE,188,83,F-G,"University of Illinois at Urbana-Champaign",27,0
"Johnny Payak",317,TOT,193,78,SG,"Bowling Green State University",23,0
"Johnny Payak",37,PHW,193,78,SG,"Bowling Green State University",23,0
"Johnny Payak",280,WAT,193,78,SG,"Bowling Green State University",23,0
"Warren Perkins",371,TRI,190,86,G-F,"Tulane University",27,0
"Ed Peterson",445,SYR,206,99,C,"Cornell University",25,0
"Jack Phelan",226,TOT,196,88,F,"DePaul University",24,0
"Jack Phelan",61,WAT,196,88,F,"DePaul University",24,0
"Jack Phelan",165,SHE,196,88,F,"DePaul University",24,0
"Andy Phillip*",758,CHS,188,88,G-F,"University of Illinois at Urbana-Champaign",27,0
"Jim Pollard*",973,MNL,193,83,SF,"Stanford University",27,0
"John Pritchard",22,WAT,206,99,C,"Drake University",23,0
"Les Pugh",251,BLB,201,86,C-F,"Ohio State University",26,0
"Don Putman",135,STB,201,86,G,,27,0
"George Ratkovicz",535,SYR,198,99,PF,,27,0
"Don Ray",364,TRI,196,86,F-C,"Western Kentucky University",28,0
"Chick Reiser",606,WSC,180,74,G-F,"New York University",35,0
"Arnie Risen*",625,ROC,206,90,C,"Ohio State University",25,0
"Tex Ritter",325,NYK,188,83,G-F,"Eastern Kentucky University",25,0
"Bill Roberts",182,STB,206,95,C,"University of Wyoming",24,0
"Red Rocha",770,STB,206,83,C,"Oregon State University",26,0
"Kenny Rollins",354,CHS,183,76,PG,"University of Kentucky",26,0
"Bob Royer",197,DNN,178,70,G,"Indiana State University",22,0
"Jerry Rullo",7,PHW,178,74,G,"Temple University",26,0
"Ed Sadowski",872,TOT,196,108,C,"Seton Hall University",32,0
"Ed Sadowski",146,PHW,196,108,C,"Seton Hall University",32,0
"Ed Sadowski",726,BLB,196,108,C,"Seton Hall University",32,0
"Kenny Sailors",987,DNN,178,79,G,"University of Wyoming",29,0
"Pep Saul",182,ROC,188,83,SG,"Seton Hall University",25,0
"Herm Schaefer",330,MNL,183,79,G-F,"Indiana University",31,0
"Marv Schatzman",115,BLB,196,90,F,"Saint Louis University",22,0
"Fred Schaus",972,FTW,196,92,F,"West Virginia University",24,0
"Dolph Schayes*",1072,SYR,203,99,F-C,"New York University",21,0
"Milt Schoon",496,SHE,201,104,C,"Valparaiso University",27,0
"Howie Schultz",554,TOT,198,90,PF,"Hamline University",27,0
"Howie Schultz",283,AND,198,90,PF,"Hamline University",27,0
"Howie Schultz",271,FTW,198,90,PF,"Hamline University",27,0
"Dick Schulz",209,TOT,188,87,F-G,"University of Wisconsin",33,0
"Dick Schulz",43,WSC,188,87,F-G,"University of Wisconsin",33,0
"Dick Schulz",41,TRI,188,87,F-G,"University of Wisconsin",33,0
"Dick Schulz",125,SHE,188,87,F-G,"University of Wisconsin",33,0
"Fred Scolari",860,WSC,178,81,PG,"University of San Francisco",27,0
"Wayne See",320,WAT,190,86,G,"Northern Arizona University",26,0
"Glen Selbo",42,SHE,190,88,G-F,"University of Wisconsin",23,0
"Rollie Seltz",266,AND,178,74,G-F,"Hamline University",26,0
"Jim Seminoff",312,BOS,188,86,G-F,"University of Southern California",27,0
"George Senesky",611,PHW,188,81,PG,"Saint Joseph's University",27,0
"Paul Seymour",476,SYR,185,81,G-F,"University of Toledo",22,0
"Carl Shaeffer",150,INO,190,83,F-G,"University of Alabama",25,0
"Howie Shannon",587,BOS,188,79,G-F,"Kansas State University",26,0
"Charley Shipp",107,WAT,185,90,G-F,"Catholic University of America",36,0
"Connie Simmons",680,NYK,203,100,C-F,,24,0
"Belus Smawley",834,STB,185,88,SG,"Appalachian State University",31,0
"Jack Smiley",332,TOT,190,86,F-G,"University of Illinois at Urbana-Champaign",27,0
"Jack Smiley",24,AND,190,86,F-G,"University of Illinois at Urbana-Champaign",27,0
"Jack Smiley",308,WAT,190,86,F-G,"University of Illinois at Urbana-Champaign",27,0
"Chips Sobek",346,SHE,183,81,G-F,"University of Notre Dame",29,0
"Odie Spears",712,CHS,196,92,SF,"Western Kentucky University",24,0
"Art Spector",5,BOS,193,90,F,"Villanova University",29,0
"Ed Stanczak",521,AND,185,83,F,,28,0
"Gene Stump",163,TOT,188,83,F-G,"DePaul University",26,0
"Gene Stump",61,MNL,188,83,F-G,"DePaul University",26,0
"Gene Stump",102,WAT,188,83,F-G,"DePaul University",26,0
"Mike Todorovich",792,TOT,196,99,F-C,"University of Wyoming",26,0
"Mike Todorovich",97,STB,196,99,F-C,"University of Wyoming",26,0
"Mike Todorovich",695,TRI,196,99,F-C,"University of Wyoming",26,0
"Jack Toomay",594,DNN,198,97,C-F,"University of the Pacific",27,0
"Bob Tough",113,TOT,183,83,G-F,"St. John's University",29,0
"Bob Tough",27,BLB,183,83,G-F,"St. John's University",29,0
"Bob Tough",86,WAT,183,83,G-F,"St. John's University",29,0
"Blackie Towery",597,BLB,193,95,F-C,"Western Kentucky University",29,0
"Dick Triptow",2,BLB,183,77,G-F,"DePaul University",27,0
"Butch Van",206,NYK,183,77,G-F,,27,0
"Gene Vance",306,TRI,190,88,G-F,"University of Illinois at Urbana-Champaign",26,0
"Ernie Vandeweghe",421,NYK,190,88,F-G,"Colgate University",21,0
"Floyd Volker",397,TOT,193,92,F-C,"University of Wyoming",28,0
"Floyd Volker",41,INO,193,92,F-C,"University of Wyoming",28,0
"Floyd Volker",356,DNN,193,92,F-C,"University of Wyoming",28,0
"Whitey Von",313,TOT,193,92,G-F,,27,0
"Whitey Von",109,TRI,193,92,G-F,,27,0
"Whitey Von",204,BLB,193,92,G-F,,27,0
"Clint Wager",143,FTW,198,95,C-F,"Saint Mary's University of Minnesota",30,0
"Danny Wagner",69,SHE,183,77,G,"University of Texas at Austin",27,0
"Brady Walker",508,BOS,198,92,PF,"Brigham Young University",28,0
"Paul Walther",291,TOT,188,72,SG,"University of Tennessee",22,0
"Paul Walther",75,MNL,188,72,SG,"University of Tennessee",22,0
"Paul Walther",216,INO,188,72,SG,"University of Tennessee",22,0
"Bobby Wanzer*",791,ROC,183,77,G,"Seton Hall University",28,0
"Murray Wier",429,TRI,175,70,G,"University of Iowa",23,0
"D.C. Wilcutt",77,STB,175,70,G,,26,0
"Bob Wood",7,SHE,175,70,G,"Northern Illinois University",28,0
"Max Zaslofsky",1115,CHS,188,77,SG,"St. John's University",24,0
"Paul Arizin*",1121,PHW,193,86,SF,"Villanova University",22,0
"Curly Armstrong",202,FTW,180,77,G-F,"Indiana University",32,0
"Cliff Barker",152,INO,188,83,SG,"University of Kentucky",30,0
"Leo Barnhorst",546,INO,193,86,SF,"University of Notre Dame",26,0
"Ed Bartels",72,WSC,196,88,F,"North Carolina State University",25,0
"Ed Beach",22,TOT,190,90,F,"West Virginia University",22,0
"Ed Beach",22,MNL,190,90,F,"West Virginia University",22,0
"Ralph Beard",1111,INO,178,79,G,"University of Kentucky",23,0
"Leon Blevins",2,INO,188,72,G,"University of Arizona",24,0
"Nelson Bobb",148,PHW,183,77,PG,"Temple University",26,0
"Ike Borsavage",64,PHW,203,99,C-F,"Temple University",26,0
"Vince Boryla",982,NYK,196,95,SF,"University of Denver",23,0
"Harry Boykoff",326,TOT,208,102,C,"St. John's University",28,0
"Harry Boykoff",201,BOS,208,102,C,"St. John's University",28,0
"Harry Boykoff",125,TRI,208,102,C,"St. John's University",28,0
"Frankie Brian",1144,TRI,185,81,G,"Louisiana State University",27,0
"Walt Budko",496,BLB,196,99,PF,"Columbia University",25,0
"Art Burris",77,FTW,196,99,SF,"University of Tennessee",26,0
"Tommy Byrnes",217,TOT,190,79,F-G,"Seton Hall University",27,0
"Tommy Byrnes",90,BLB,190,79,F-G,"Seton Hall University",27,0
"Tommy Byrnes",40,WSC,190,79,F-G,"Seton Hall University",27,0
"Tommy Byrnes",87,TRI,190,79,F-G,"Seton Hall University",27,0
"Gerry Calabrese",201,SYR,185,79,SG,"St. John's University",25,0
"Bill Calhoun",511,ROC,190,81,SG,"City College of San Francisco",23,0
"Don Carlson",42,BLB,183,77,G-F,"University of Minnesota",31,0
"Bob Carpenter",323,TOT,196,90,F-C,"East Texas State University",33,0
"Bob Carpenter",101,FTW,196,90,F-C,"East Texas State University",33,0
"Bob Carpenter",222,TRI,196,90,F-C,"East Texas State University",33,0
"Al Cervi*",458,SYR,180,77,PG,,33,0
"Leroy Chollet",24,SYR,188,86,F,"Canisius College",25,0
"Cal Christensen",443,TRI,196,95,SF,"University of Toledo",23,0
"Nat Clifton*",562,NYK,198,99,PF,"Xavier University of Louisiana",28,0
"Bill Closs",570,PHW,196,88,SF,"Rice University",29,0
"Jack Coleman",764,ROC,201,88,PF,"University of Louisville",26,0
"Chuck Cooper",615,BOS,196,95,F,"Duquesne University",24,0
"Ray Corley",122,TOT,183,81,G,"Georgetown University",23,0
"Ray Corley",48,BLB,183,81,G,"Georgetown University",23,0
"Ray Corley",74,TRI,183,81,G,"Georgetown University",23,0
"Bob Cousy*",1078,BOS,185,79,PG,"College of the Holy Cross",22,0
"Bob Davies*",955,ROC,185,79,PG,"Seton Hall University",31,0
"Hank DeZonie",17,TRI,198,97,C-F,"Clark Atlanta University",28,0
"Joe Dolhon",51,BLB,183,79,G,"New York University",23,0
"Bob Donham",416,BOS,188,86,SG,"Ohio State University",24,0
"Andy Duncan",29,BOS,198,88,F-C,"College of William & Mary",28,0
"Dike Eddleman",1040,TRI,190,85,SF,"University of Illinois at Urbana-Champaign",28,0
"Ray Ellefson",4,NYK,203,104,C,"West Texas A&M University",28,0
"Arnie Ferrin",352,MNL,188,81,F-G,"University of Utah",25,0
"Larry Foust",915,FTW,206,97,C,"La Salle University",22,0
"Joe Fulks*",1236,PHW,196,86,PF,"Murray State University",29,0
"Bill Gabor",689,SYR,180,77,SG,"Syracuse University",28,0
"Harry Gallatin*",845,NYK,198,95,F-C,"Truman State University",23,0
"Vern Gardner",327,PHW,196,90,SG,"University of Utah",25,0
"Ed Gayda",56,TRI,193,95,G-F,"Washington State University",23,0
"Chuck Gilmur",51,WSC,193,102,F-C,"University of Washington",28,0
"Bud Grant",158,MNL,190,88,F,"University of Minnesota",23,0
"Alex Groza",1429,INO,201,98,C,"University of Kentucky",24,0
"Bruce Hale",94,INO,185,77,G-F,"Santa Clara University",32,0
"Alex Hannum*",471,SYR,201,95,PF,"University of Southern California",27,0
"John Hargis",123,TOT,188,81,G-F,"University of Texas at Austin",30,0
"John Hargis",67,FTW,188,81,G-F,"University of Texas at Austin",30,0
"John Hargis",56,TRI,188,81,G-F,"University of Texas at Austin",30,0
"Bob Harris",282,TOT,201,88,F-C,"Oklahoma State University",23,0
"Bob Harris",41,FTW,201,88,F-C,"Oklahoma State University",23,0
"Bob Harris",241,BOS,201,88,F-C,"Oklahoma State University",23,0
"Bob Harrison",401,MNL,201,88,G,"Oklahoma State University",23,0
"Billy Hassett",133,BLB,180,81,G,"University of Notre Dame",29,0
"Sonny Hertzberg",635,BOS,178,79,G,"City College of New York",28,0
"Paul Hoffman",359,BLB,188,88,G-F,"Purdue University",25,0
"Joe Holland",470,INO,193,83,SF,"University of Kentucky",25,0
"Red Holzman*",496,ROC,178,79,PG,"City College of New York",30,0
"Joe Hutton",147,MNL,185,77,SG,"Hamline University",22,0
"Gene James",202,TOT,193,81,F,"Marshall University",25,0
"Gene James",3,NYK,193,81,F,"Marshall University",25,0
"Gene James",199,BLB,193,81,F,"Marshall University",25,0
"Tony Jaros",241,MNL,190,83,F-G,"University of Minnesota",30,0
"Arnie Johnson",639,ROC,196,107,SF,"Bemidji State University",30,0
"Ralph Johnson",584,FTW,180,77,PG,"Huntington University",29,0
"Wah Wah",247,INO,180,77,PF,,24,0
"Noble Jorgensen",628,TOT,206,103,C,"University of Iowa",25,0
"Noble Jorgensen",246,TRI,206,103,C,"University of Iowa",25,0
"Noble Jorgensen",382,SYR,206,103,C,"University of Iowa",25,0
"George Kaftan",300,NYK,190,86,SF,"College of the Holy Cross",22,0
"Jack Kerris",711,FTW,198,97,PF,"Loyola University of Chicago",26,0
"Duane Klueh",449,FTW,190,79,G,"Indiana State University",25,0
"Tony Lavelli",99,NYK,190,83,F,"Yale University",24,0
"Bob Lavoy",526,INO,201,83,PF,"Western Kentucky University",24,0
"Ed Leede",378,BOS,190,83,F-G,"Dartmouth College",23,0
"Ron Livingstone",284,PHW,208,99,C,"University of Wyoming",25,0
"Earl Lloyd*",43,WSC,196,90,SF,"West Virginia State University",22,0
"John Logan",231,TRI,188,79,G,"Indiana University",30,0
"Ray Lumpp",430,NYK,185,80,G,"New York University",27,0
"Ed Macauley*",1384,BOS,203,83,C-F,"Saint Louis University",22,0
"Johnny Macknowski",384,SYR,183,81,G-F,"Seton Hall University",28,0
"Norm Mager",124,BLB,196,83,F,"City College of New York",24,0
"John Mahnken",267,TOT,203,99,C,"Georgetown University",28,0
