Player_Name,Points,Team,height,weight,Position,collage,Age,All_Star
"Darvin Ham",145,WAS,201,99,SF,"Texas Tech University",24,0
"Tom Hammonds",346,MIN,206,97,PF,"Georgia Institute of Technology",30,0
"Anfernee Hardaway",311,ORL,201,88,SG,"University of Memphis",26,0
"Tim Hardaway",1528,MIA,183,79,PG,"University of Texas at El Paso",31,0
"Derek Harper",566,ORL,193,83,SG,"University of Illinois at Urbana-Champaign",36,0
"Ron Harper",764,CHI,198,83,PG,"Miami University",34,0
"Othella Harrington",350,HOU,206,106,PF,"Georgetown University",24,0
"Lucious Harris",191,NJN,196,86,SG,"California State University, Long Beach",27,0
"Hersey Hawkins",862,SEA,190,86,SG,"Bradley University",31,0
"Alan Henderson",986,ATL,206,106,PF,"Indiana University",25,0
"Cedric Henderson",832,CLE,203,95,SF,"University of Georgia",22,0
"Mark Hendrickson",163,SAC,206,99,PF,"Washington State University",23,0
"Steve Henson",36,DET,180,80,PG,"Kansas State University",29,0
"Carl Herrera",170,SAS,206,97,PF,"University of Houston",31,0
"Grant Hill",1712,DET,203,102,SF,"Duke University",25,0
"Tyrone Hill",571,MIL,206,108,PF,"Xavier University",29,0
"Fred Hoiberg",261,IND,193,92,SG,"Iowa State University",25,0
"Jerald Honeycutt",245,MIL,206,111,PF,"Tulane University",23,0
"Jeff Hornacek",1139,UTA,190,86,SG,"Iowa State University",34,0
"Robert Horry",536,LAL,206,99,PF,"University of Alabama",27,0
"Allan Houston",1509,NYK,198,90,SG,"University of Tennessee",26,0
"Juwan Howard",1184,WAS,206,108,PF,"University of Michigan",24,0
"Stephen Howard",25,SEA,206,102,SF,"DePaul University",27,0
"Lindsey Hunter",862,DET,188,77,PG,"Jackson State University",27,0
"Bobby Hurley",250,TOT,183,74,PG,"Duke University",26,0
"Bobby Hurley",128,SAC,183,74,PG,"Duke University",26,0
"Bobby Hurley",122,VAN,183,74,PG,"Duke University",26,0
"Zydrunas Ilgauskas",1139,CLE,221,107,C,,22,0
"Allen Iverson*",1758,PHI,183,74,PG,"Georgetown University",22,0
"Bobby Jackson",790,DEN,185,83,PG,"University of Minnesota",24,0
"Jaren Jackson",722,SAS,193,86,SG,"Georgetown University",30,0
"Jim Jackson",1242,TOT,198,99,SG,"Ohio State University",27,0
"Jim Jackson",657,PHI,198,99,SG,"Ohio State University",27,0
"Jim Jackson",585,GSW,198,99,SG,"Ohio State University",27,0
"Mark Jackson",678,IND,185,81,PG,"St. John's University",32,0
"Henry James",80,CLE,203,99,PF,"St. Mary's University",32,0
"Anthony Johnson",574,SAC,196,97,PG,"University of Portland",23,0
"Avery Johnson",766,SAS,178,79,PG,"Southern University and A&M College",32,0
"Eddie Johnson",633,HOU,203,92,SF,"Tennessee State University",38,0
"Ervin Johnson",649,MIL,188,92,C,"University of Nebraska",30,0
"Kevin Johnson",476,PHO,203,108,PG,"Michigan State University",31,0
"Larry Johnson",1087,NYK,190,92,SF,"University of Kentucky",28,0
"Charles Jones",15,HOU,206,97,PF,"Albany State University",40,0
"Eddie Jones",1349,LAL,208,102,SG,"University of Nevada, Reno",26,0
"Popeye Jones",120,TOR,203,113,PF,"Murray State University",27,0
"Michael Jordan*",2357,CHI,198,88,SG,"University of North Carolina",34,0
"Reggie Jordan",149,MIN,193,88,SG,"New Mexico State University",30,0
"Adam Keefe",620,UTA,206,104,C,"Stanford University",27,0
"Shawn Kemp",1442,CLE,208,104,PF,"Trinity Valley Community College",28,0
"Steve Kerr",376,CHI,190,79,PG,"University of Arizona",32,0
"Jerome Kersey",234,SEA,201,97,SF,"Longwood University",35,0
"Jason Kidd",954,PHO,193,92,PG,"University of California",24,0
"Kerry Kittles",1328,NJN,196,81,SG,"Villanova University",23,0
"Joe Kleine",93,CHI,211,115,C,"University of Arkansas",36,0
"Brevin Knight",723,CLE,178,78,PG,"Stanford University",22,0
"Travis Knight",482,BOS,213,106,C,"University of Connecticut",23,0
"Toni Kukoc",984,CHI,208,87,SF,,29,0
"Christian Laettner",1020,ATL,211,106,PF,"Duke University",28,0
"Andrew Lang",152,MIL,211,111,C,"University of Arkansas",31,0
"Antonio Lang",12,MIA,211,111,SF,"University of Arkansas",25,0
"Rusty LaRue",49,CHI,188,95,PG,"Wake Forest University",24,0
"Priest Lauderdale",144,DEN,224,147,C,"Central State University",24,0
"Jason Lawson",26,ORL,211,108,C,"Villanova University",23,0
"Tim Legler",9,WAS,193,90,SG,"La Salle University",31,0
"Voshon Lenard",1020,MIA,193,92,SG,"University of Minnesota",24,0
"Randy Livingston",10,ATL,193,94,PG,"Louisiana State University",22,0
